City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country,Date
Sikasso,10.9167,-7.0,75.0,broken clouds,83,77,4.27,ML,1626404393
Calipan,18.2958,-97.1667,65.95,broken clouds,90,64,4.07,MX,1626404395
Dikson,73.5069,80.5464,34.65,overcast clouds,96,100,13.15,RU,1626404396
Norwich,52.6278,1.2983,57.47,overcast clouds,89,90,4.61,GB,1626404235
Ushtobe,45.2514,77.9838,68.09,overcast clouds,63,100,16.08,KZ,1626404398
Half Moon Bay,37.4636,-122.4286,68.07,clear sky,82,1,11.5,US,1626404400
Dunedin,-45.8742,170.5036,48.79,light rain,83,87,10.0,NZ,1626404403
Kaitangata,-46.2817,169.8464,52.93,few clouds,78,18,2.57,NZ,1626404405
Qui Nhon,13.7667,109.2333,83.14,overcast clouds,69,100,8.37,VN,1626404346
Albany,42.6001,-73.9662,75.81,broken clouds,89,51,4.23,US,1626404407
Kodiak,57.79,-152.4072,63.09,scattered clouds,70,30,1.03,US,1626404409
Port Keats,-14.25,129.55,88.05,overcast clouds,27,100,8.03,AU,1626404411
New Norfolk,-42.7826,147.0587,52.92,broken clouds,93,83,4.12,AU,1626404412
Saint George,37.1041,-113.5841,93.94,clear sky,35,0,1.01,US,1626404409
Port Alfred,-33.5906,26.891,53.29,clear sky,43,0,6.22,ZA,1626404415
Quatre Cocos,-20.2078,57.7625,69.1,light rain,72,77,17.58,MU,1626404417
Hobart,-42.8794,147.3294,53.26,broken clouds,89,75,0.0,AU,1626404314
Mataura,-46.1927,168.8643,55.47,clear sky,82,3,3.89,NZ,1626404419
Gat,31.61,34.7642,79.39,clear sky,86,0,2.53,IL,1626404421
Hurghada,27.2574,33.8129,84.51,clear sky,40,4,9.57,EG,1626404417
Avarua,-21.2078,-159.775,78.85,broken clouds,78,75,9.22,CK,1626404423
Kapaa,22.0752,-159.319,84.18,scattered clouds,79,42,4.0,US,1626404425
Oliveira Dos Brejinhos,-12.3169,-42.8961,68.43,overcast clouds,55,85,4.68,BR,1626404426
Whitehorse,60.7161,-135.0538,65.01,broken clouds,36,82,8.99,CA,1626404428
Conde,-7.2597,-34.9075,70.66,clear sky,93,10,8.1,BR,1626404429
Yerbogachen,61.2767,108.0108,75.52,clear sky,49,0,0.85,RU,1626404430
Kahului,20.8947,-156.47,82.98,few clouds,74,21,4.0,US,1626404432
Mehamn,71.0357,27.8492,52.16,overcast clouds,81,100,5.5,NO,1626404433
Paracatu,-17.2222,-46.8747,62.51,clear sky,51,0,1.19,BR,1626404434
Cape Town,-33.9258,18.4232,50.11,clear sky,61,0,2.48,ZA,1626404436
Ushuaia,-54.8,-68.3,33.46,light snow,93,90,26.46,AR,1626404388
Barrow,71.2906,-156.7887,48.22,overcast clouds,76,90,13.8,US,1626404438
Alofi,-19.0595,-169.9187,76.5,clear sky,85,2,22.57,NU,1626404439
Hermanus,-34.4187,19.2345,49.89,clear sky,57,0,4.61,ZA,1626404441
Punta Arenas,-53.15,-70.9167,37.11,light rain,93,100,5.7,CL,1626404442
Genhe,50.7833,121.5167,80.38,clear sky,42,0,9.69,CN,1626404444
Airai,-8.9266,125.4092,75.0,broken clouds,40,58,4.54,TL,1626404445
Tiksi,71.6872,128.8694,52.52,overcast clouds,61,100,25.26,RU,1626404446
Rikitea,-23.1203,-134.9692,73.13,few clouds,73,20,9.46,PF,1626404448
Ayan,56.45,138.1667,58.93,overcast clouds,85,100,0.92,RU,1626404449
Lebu,-37.6167,-73.65,49.98,broken clouds,78,83,3.06,CL,1626404451
Sabang,5.8933,95.3214,81.57,overcast clouds,75,100,7.99,ID,1626404452
Coihaique,-45.5752,-72.0662,37.08,light rain,99,86,5.32,CL,1626404453
Borshchiv,48.8033,26.0435,70.14,broken clouds,78,67,3.27,UA,1626404455
Dingle,10.9995,122.6711,78.37,overcast clouds,88,100,5.97,PH,1626404456
Bethel,41.3712,-73.414,77.0,scattered clouds,87,45,3.78,US,1626404457
Nanyamba,-10.6833,39.8333,61.29,clear sky,92,5,5.61,TZ,1626404459
Hilo,19.7297,-155.09,90.28,clear sky,90,2,3.0,US,1626404460
Del Rio,29.3627,-100.8968,86.23,scattered clouds,52,28,5.01,US,1626404461
Bredasdorp,-34.5322,20.0403,46.06,clear sky,68,0,3.96,ZA,1626404463
Windhoek,-22.5594,17.0832,45.1,clear sky,21,0,5.79,NA,1626404464
El Puerto De Santa Maria,36.5939,-6.233,72.25,clear sky,63,0,6.91,ES,1626404465
Ystad,55.4297,13.8204,70.99,scattered clouds,87,42,4.99,SE,1626404467
Bambous Virieux,-20.3428,57.7575,69.22,light rain,73,84,17.85,MU,1626404468
Talnakh,69.4865,88.3972,60.31,overcast clouds,57,100,11.25,RU,1626404469
Butaritari,3.0707,172.7902,82.62,moderate rain,80,100,13.6,KI,1626404471
Piet Retief,-27.0071,30.8132,35.44,clear sky,96,3,3.53,ZA,1626404472
Rumphi,-11.0186,33.8575,55.2,scattered clouds,93,34,4.12,MW,1626404473
Montepuez,-13.1256,38.9997,61.47,clear sky,85,3,10.02,MZ,1626404474
Luohe,33.5717,114.0353,87.03,moderate rain,68,74,5.73,CN,1626404476
Provideniya,64.3833,-173.3,50.11,fog,81,90,15.66,RU,1626404477
Abu Samrah,35.3029,37.1841,76.01,clear sky,55,0,7.31,SY,1626404478
Pisco,-13.7,-76.2167,59.02,clear sky,88,0,3.04,PE,1626404480
Khasan,42.4308,130.6434,74.44,overcast clouds,94,97,5.03,RU,1626404481
Sur,22.5667,59.5289,84.0,overcast clouds,82,100,15.35,OM,1626404482
Straumen,63.8709,11.2999,57.51,broken clouds,89,55,7.78,NO,1626404483
Emporia,38.4039,-96.1817,69.51,broken clouds,98,75,5.73,US,1626404485
Saskylakh,71.9167,114.0833,52.29,light rain,77,100,8.59,RU,1626404486
Cravo Norte,6.3017,-70.2041,75.27,broken clouds,91,51,2.8,CO,1626404487
New York,40.7143,-74.006,82.94,broken clouds,79,54,1.01,US,1626404298
Severo-Kurilsk,50.6789,156.125,56.89,scattered clouds,77,43,17.52,RU,1626404490
Atuona,-9.8,-139.0333,78.17,few clouds,66,16,27.96,PF,1626404491
Garden City,42.3256,-83.331,75.45,clear sky,73,1,5.75,US,1626404493
Bluff,-46.6,168.3333,55.8,few clouds,84,14,4.79,NZ,1626404494
Cidreira,-30.1811,-50.2056,55.99,broken clouds,90,54,8.95,BR,1626404495
Stulovo,58.7225,50.1439,60.76,moderate rain,95,100,3.24,RU,1626404496
Kalmunai,7.4167,81.8167,83.93,broken clouds,71,74,2.21,LK,1626404498
Dedovichi,57.5517,29.9502,68.67,scattered clouds,78,33,4.16,RU,1626404499
Marsa Matruh,31.3525,27.2453,76.39,clear sky,75,0,10.18,EG,1626404500
Soyo,-6.1349,12.3689,70.81,scattered clouds,90,25,3.87,AO,1626404502
Busselton,-33.65,115.3333,60.04,overcast clouds,67,100,10.36,AU,1626404503
Salinas,36.6777,-121.6555,70.23,clear sky,79,6,6.13,US,1626404462
Griffith,41.5284,-87.4237,73.22,overcast clouds,87,90,1.01,US,1626404505
Husavik,66.0449,-17.3389,51.71,scattered clouds,86,38,2.71,IS,1626404234
Hithadhoo,-0.6,73.0833,83.75,broken clouds,72,76,13.29,MV,1626404508
Tasiilaq,65.6145,-37.6368,39.36,scattered clouds,81,29,9.78,GL,1626404509
Fairbanks,64.8378,-147.7164,80.02,scattered clouds,36,48,1.01,US,1626404410
Hasaki,35.7333,140.8333,88.29,overcast clouds,78,100,7.81,JP,1626404511
Saint-Philippe,-21.3585,55.7679,67.55,light rain,86,70,14.83,RE,1626404513
Mold,53.1667,-3.1414,58.8,clear sky,88,0,2.95,GB,1626404514
Fortuna,40.5982,-124.1573,64.42,overcast clouds,88,90,4.0,US,1626404515
Chokurdakh,70.6333,147.9167,63.82,overcast clouds,33,89,16.71,RU,1626404517
Wagar,16.1525,36.2032,78.4,overcast clouds,71,92,15.26,SD,1626404518
San Jeronimo,-11.9472,-75.2829,46.76,clear sky,77,5,2.55,PE,1626404519
Awbari,26.5921,12.7805,83.12,overcast clouds,23,94,7.67,LY,1626404520
Sicamous,50.8331,-118.9856,86.11,scattered clouds,45,29,1.61,CA,1626404522
Cuauhtemoc,28.4167,-106.8667,67.71,scattered clouds,44,25,11.88,MX,1626404523
Arlit,18.7369,7.3853,92.55,overcast clouds,11,100,15.39,NE,1626404524
Puerto Ayora,-0.7393,-90.3518,70.56,broken clouds,95,83,1.01,EC,1626404526
Thompson,55.7435,-97.8558,76.24,clear sky,43,8,9.69,CA,1626404527
Jaumave,23.4167,-99.3833,73.96,overcast clouds,93,94,3.96,MX,1626404528
Urumqi,43.801,87.6005,81.55,clear sky,30,0,4.47,CN,1626404530
Carnarvon,-24.8667,113.6333,63.84,overcast clouds,55,87,17.22,AU,1626404531
Marzuq,14.4,46.4667,81.1,overcast clouds,46,100,16.17,YE,1626404532
Victoria,22.2855,114.1577,88.97,few clouds,79,17,1.99,HK,1626404259
Porto Murtinho,-21.6989,-57.8825,63.37,overcast clouds,88,100,6.69,BR,1626404535
Baykit,61.67,96.37,70.59,overcast clouds,78,99,4.34,RU,1626404536
Agadir,30.4202,-9.5982,68.45,clear sky,70,0,3.11,MA,1626404537
Bengkulu,-3.8004,102.2655,82.51,broken clouds,63,83,3.69,ID,1626404539
Chickasha,35.0526,-97.9364,83.28,light rain,65,1,10.36,US,1626404412
Nanortalik,60.1432,-45.2371,45.25,overcast clouds,84,100,6.31,GL,1626404541
Mar Del Plata,-38.0023,-57.5575,45.12,clear sky,66,0,3.0,AR,1626404542
Stokmarknes,68.5646,14.9108,52.5,overcast clouds,92,100,29.39,NO,1626404544
Ahipara,-35.1667,173.1667,60.8,broken clouds,77,76,18.14,NZ,1626404545
Bitung,1.4451,125.1824,83.25,overcast clouds,79,100,2.01,ID,1626404546
La Rioja,42.25,-2.5,54.05,clear sky,64,1,6.49,ES,1626404548
Kavieng,-2.5744,150.7967,86.02,overcast clouds,69,91,10.76,PG,1626404549
Vaini,-21.2,-175.2,73.74,overcast clouds,84,97,24.87,TO,1626404550
Jamestown,42.097,-79.2353,70.72,scattered clouds,93,44,4.0,US,1626404415
Bathsheba,13.2167,-59.5167,80.47,broken clouds,74,73,18.61,BB,1626404553
Thinadhoo,0.5333,72.9333,82.9,overcast clouds,74,100,12.26,MV,1626404554
Ascension,30.2169,-90.9001,80.01,clear sky,93,1,0.0,US,1626404555
Deer Lake,49.1667,-57.4316,64.0,overcast clouds,84,99,6.6,CA,1626404556
Bonnyville,54.2668,-110.735,78.6,broken clouds,38,52,13.02,CA,1626404390
Lgov,51.6307,35.2775,66.25,few clouds,97,12,3.51,RU,1626404559
Abonnema,4.7084,6.7931,75.29,light rain,90,100,4.81,NG,1626404560
Grenfell,-33.9,148.1667,51.33,scattered clouds,76,34,20.94,AU,1626404561
Auki,-8.7676,160.7034,87.49,clear sky,61,7,4.97,SB,1626404563
Singaparna,-7.3515,108.111,77.43,scattered clouds,65,49,5.86,ID,1626404564
Necochea,-38.5473,-58.7368,41.94,clear sky,58,5,9.51,AR,1626404565
Leningradskiy,69.3833,178.4167,42.24,light rain,95,100,13.38,RU,1626404567
Mezen,65.8522,44.24,58.86,clear sky,72,6,3.02,RU,1626404568
Georgetown,5.4112,100.3354,87.73,few clouds,77,20,1.99,MY,1626404416
Tuktoyaktuk,69.4541,-133.0374,40.8,scattered clouds,74,40,9.13,CA,1626404570
Kungalv,57.871,11.9805,67.86,clear sky,95,0,4.34,SE,1626404572
Lamar,33.6668,-95.5836,82.56,broken clouds,83,81,10.16,US,1626404435
Bonga,7.2833,36.2333,59.65,light rain,99,100,2.13,ET,1626404574
Longyearbyen,78.2186,15.6401,53.44,broken clouds,66,75,2.3,SJ,1626404575
Korla,41.7597,86.1469,86.86,overcast clouds,26,95,8.3,CN,1626404576
Conselheiro Pena,-19.1722,-41.4722,67.39,clear sky,81,4,0.78,BR,1626404578
Nome,64.5011,-165.4064,54.16,overcast clouds,80,100,16.17,US,1626404579
Hami,42.8,93.45,89.56,clear sky,25,0,1.95,CN,1626404580
Zabol,32.25,67.25,78.71,clear sky,39,0,1.61,AF,1626404582
Port Elizabeth,-33.918,25.5701,50.11,clear sky,66,0,5.68,ZA,1626404417
Touros,-5.1989,-35.4608,74.62,clear sky,89,4,10.96,BR,1626404584
Wanaka,-44.7,169.15,47.1,overcast clouds,99,99,2.1,NZ,1626404375
Katsuura,35.1333,140.3,86.14,overcast clouds,74,86,7.83,JP,1626404586
Jian,27.1172,114.9793,93.34,broken clouds,53,70,5.82,CN,1626404588
Tilichiki,60.4667,166.1,59.11,overcast clouds,76,94,9.78,RU,1626404589
Ancud,-41.8697,-73.8203,46.22,light rain,82,82,10.69,CL,1626404590
La Ronge,55.1001,-105.2842,79.02,thunderstorm,50,90,4.61,CA,1626404592
Ryotsu,38.0833,138.4333,82.18,overcast clouds,68,100,2.98,JP,1626404593
Jibuti,11.5,42.5,83.88,light rain,41,100,10.13,DJ,1626404594
Anshun,26.25,105.9333,74.25,overcast clouds,78,95,13.24,CN,1626404595
Kisangani,0.5167,25.2,72.05,broken clouds,80,75,1.45,CD,1626404597
Kilindoni,-7.9139,39.6668,76.51,few clouds,72,14,22.37,TZ,1626404598
Karpathos,35.507,27.2132,76.73,clear sky,83,0,13.56,GR,1626404599
Riyadh,24.6877,46.7219,87.94,broken clouds,16,78,4.36,SA,1626404307
Flin Flon,54.7682,-101.865,73.44,scattered clouds,55,39,5.12,CA,1626404602
Qaqortoq,60.7167,-46.0333,52.3,overcast clouds,79,100,3.13,GL,1626404603
Vao,-22.6667,167.4833,72.84,scattered clouds,80,49,10.09,NC,1626404605
Neuquen,-38.9516,-68.0591,48.31,overcast clouds,42,100,3.44,AR,1626404426
Port Blair,11.6667,92.75,75.24,heavy intensity rain,100,90,2.3,IN,1626404607
Kangaba,11.9333,-8.4167,73.24,broken clouds,93,64,4.45,ML,1626404608
Torbay,47.6666,-52.7314,59.88,broken clouds,90,75,14.97,CA,1626404610
Ewa Beach,21.3156,-158.0072,83.98,scattered clouds,60,49,18.01,US,1626404611
Bonavista,48.6499,-53.1147,57.0,overcast clouds,85,97,16.91,CA,1626404612
Saldanha,-33.0117,17.9442,50.83,clear sky,56,0,6.26,ZA,1626404613
Omsukchan,62.5333,155.8,70.3,broken clouds,41,66,2.95,RU,1626404615
Khandbari,27.3747,87.2039,78.04,overcast clouds,75,96,2.3,NP,1626404616
Olafsvik,64.8945,-23.7142,49.68,overcast clouds,96,100,9.93,IS,1626404618
Beloha,-25.1667,45.05,63.19,light rain,88,94,14.65,MG,1626404619
Asyut,27.181,31.1837,81.55,few clouds,27,21,6.29,EG,1626404620
Yellowknife,62.456,-114.3525,46.33,overcast clouds,80,100,1.01,CA,1626404410
Omboue,-1.5746,9.2618,71.17,overcast clouds,80,100,6.49,GA,1626404623
Jizan,17.3333,42.6667,88.29,overcast clouds,60,98,5.08,SA,1626404624
Mahebourg,-20.4081,57.7,69.26,light rain,74,82,17.85,MU,1626404625
Praia Da Vitoria,38.7333,-27.0667,70.75,broken clouds,94,58,8.03,PT,1626404626
Hofn,64.2539,-15.2082,51.85,scattered clouds,92,31,12.86,IS,1626404628
Raglan,-37.8,174.8833,62.33,broken clouds,75,81,12.8,NZ,1626404629
Ambon,-3.6954,128.1814,87.94,scattered clouds,62,40,3.44,ID,1626404630
Khatanga,71.9667,102.5,49.06,light rain,90,100,10.0,RU,1626404632
Chaman,30.9236,66.4512,85.01,clear sky,36,9,1.95,PK,1626404633
Upernavik,72.7868,-56.1549,43.88,overcast clouds,76,100,7.31,GL,1626404634
Qaanaaq,77.484,-69.3632,36.41,overcast clouds,94,100,12.64,GL,1626404636
Zhigansk,66.7697,123.3711,63.52,clear sky,39,3,12.03,RU,1626404637
East London,-33.0153,27.9116,53.33,clear sky,35,0,5.26,ZA,1626404638
Hualmay,-11.0964,-77.6139,62.83,scattered clouds,83,31,10.27,PE,1626404639
Cartagena,10.3997,-75.5144,79.54,overcast clouds,86,96,17.31,CO,1626404641
Mwense,-10.3845,28.698,58.06,clear sky,75,2,5.35,ZM,1626404642
Rawson,-43.3002,-65.1023,46.74,overcast clouds,49,100,11.07,AR,1626404456
Diego De Almagro,-26.3667,-70.05,51.17,clear sky,46,0,1.5,CL,1626404644
Camacha,33.0833,-16.3333,67.53,broken clouds,77,75,12.66,PT,1626404646
Abu Dhabi,24.4667,54.3667,91.98,overcast clouds,64,100,15.82,AE,1626404463
Fort Thomas,39.0751,-84.4472,75.92,clear sky,88,1,6.91,US,1626404648
Ballina,-28.8667,153.5667,64.98,overcast clouds,77,85,14.79,AU,1626404649
Letpadan,17.7833,95.75,79.74,overcast clouds,84,100,4.54,MM,1626404651
Nikolskoye,59.7035,30.7861,72.79,few clouds,89,19,4.18,RU,1626404652
Pampa,35.5362,-100.9599,79.75,clear sky,73,1,3.44,US,1626404653
Homer,59.6425,-151.5483,74.08,overcast clouds,76,87,13.0,US,1626404436
Te Anau,-45.4167,167.7167,54.64,scattered clouds,82,30,2.15,NZ,1626404396
Kungurtug,50.5994,97.5228,75.78,scattered clouds,42,42,1.52,RU,1626404657
Huntsville,34.7304,-86.5861,79.39,clear sky,84,1,5.99,US,1626404460
Matiguas,12.8373,-85.4622,70.84,scattered clouds,96,25,3.4,NI,1626404659
Chapais,49.7834,-74.8492,55.18,overcast clouds,98,100,5.3,CA,1626404660
Lahaina,20.8783,-156.6825,84.2,scattered clouds,73,30,10.56,US,1626404662
Souillac,-20.5167,57.5167,69.37,light rain,78,80,16.11,MU,1626404663
Moron,-34.6534,-58.6198,51.91,clear sky,88,0,3.76,AR,1626404664
Boa Vista,2.8197,-60.6733,75.18,broken clouds,94,75,2.3,BR,1626404665
Castro,-24.7911,-50.0119,56.84,moderate rain,81,100,3.02,BR,1626404486
Itarema,-2.9248,-39.9167,76.42,overcast clouds,84,88,9.93,BR,1626404668
Kashi,39.4547,75.9797,80.22,clear sky,35,0,9.57,CN,1626404669
Prince Rupert,54.3161,-130.3201,57.29,light rain,88,90,9.22,CA,1626404670
Podgorica,42.4411,19.2636,71.38,clear sky,68,0,4.61,ME,1626404437
Hoquiam,46.9809,-123.8893,65.37,overcast clouds,60,90,12.66,US,1626404673
Lorengau,-2.0226,147.2712,84.4,light rain,77,84,11.86,PG,1626404674
Mirabad,30.4362,61.8383,89.83,clear sky,18,0,20.36,AF,1626404676
Naze,28.3667,129.4833,80.56,overcast clouds,68,97,14.36,JP,1626404677
Vestmannaeyjar,63.4427,-20.2734,51.39,overcast clouds,96,100,19.71,IS,1626404678
Saint-Joseph,-21.3667,55.6167,66.56,light rain,82,38,14.38,RE,1626404679
Faanui,-16.4833,-151.75,80.22,light rain,73,2,17.98,PF,1626404681
Ixtapa,20.7,-105.2,78.08,overcast clouds,93,100,1.99,MX,1626404682
Arraial Do Cabo,-22.9661,-42.0278,71.01,few clouds,85,22,16.02,BR,1626404683
Matara,5.9485,80.5353,82.26,broken clouds,77,64,10.25,LK,1626404399
Baley,51.6,116.6333,74.62,clear sky,50,0,7.38,RU,1626404686
Cockburn Town,21.4612,-71.1419,81.45,clear sky,74,0,19.66,TC,1626404687
Pedernales,18.0384,-71.744,79.52,clear sky,71,1,6.38,DO,1626404688
Athboy,53.6186,-6.9206,64.24,overcast clouds,88,100,4.0,IE,1626404690
Denpasar,-8.65,115.2167,82.06,few clouds,78,20,18.41,ID,1626404691
Faya,18.3851,42.4509,63.12,overcast clouds,37,93,6.06,SA,1626404692
Sakaiminato,35.55,133.2333,76.68,overcast clouds,76,100,7.9,JP,1626404693
Trelew,-43.249,-65.3051,46.09,overcast clouds,45,100,9.53,AR,1626404695
Luderitz,-26.6481,15.1594,56.75,clear sky,33,0,6.91,NA,1626404696
Balakovo,52.0278,47.8007,71.02,few clouds,66,12,1.74,RU,1626404697
Dhidhdhoo,6.8833,73.1,82.78,overcast clouds,79,99,14.07,MV,1626404699
Cayenne,4.9333,-52.3333,76.08,clear sky,90,0,0.0,GF,1626404662
Erzin,36.9559,36.2,79.52,clear sky,81,4,1.25,TR,1626404701
San Joaquin,37.9333,-121.3011,88.11,clear sky,41,1,14.97,US,1626404702
Tigre,-34.426,-58.5796,52.18,clear sky,89,0,0.0,AR,1626404707
Sapele,5.8941,5.6767,74.44,overcast clouds,94,100,2.39,NG,1626404708
Guilin,25.2819,110.2864,89.58,broken clouds,60,81,5.26,CN,1626404709
Lethem,3.3803,-59.7968,74.61,heavy intensity rain,92,99,4.81,GY,1626404711
Vanimo,-2.6741,141.3028,84.24,overcast clouds,68,100,5.73,PG,1626404712
Russell,32.3502,-85.1999,76.78,few clouds,89,17,2.62,US,1626404714
Gold Coast,-28.0,153.4333,71.01,light rain,82,96,4.0,AU,1626404715
Orhangazi,40.4892,29.3089,74.17,clear sky,76,0,4.83,TR,1626404716
Vilyuysk,63.7553,121.6247,69.91,scattered clouds,30,43,8.41,RU,1626404717
Gwadar,25.1216,62.3254,86.23,overcast clouds,78,100,13.69,PK,1626404719
Bukene,-4.2333,32.8833,62.74,scattered clouds,63,25,7.02,TZ,1626404720
Huangmei,30.1924,116.025,87.12,overcast clouds,71,100,5.3,CN,1626404722
Haines Junction,60.7522,-137.5108,65.86,overcast clouds,35,95,7.74,CA,1626404723
Ust-Nera,64.5667,143.2,75.54,overcast clouds,42,100,4.03,RU,1626404724
Iroquois Falls,48.7669,-80.6831,53.76,scattered clouds,95,49,3.29,CA,1626404726
Norman Wells,65.282,-126.8329,52.86,overcast clouds,39,87,5.88,CA,1626404727
Narsaq,60.9167,-46.05,52.02,overcast clouds,67,100,1.68,GL,1626404592
Ribeira Grande,38.5167,-28.7,69.58,scattered clouds,87,47,9.1,PT,1626404729
Ostrovnoy,68.0531,39.5131,56.61,overcast clouds,82,100,14.9,RU,1626404731
Vila Velha,-20.3297,-40.2925,73.35,clear sky,73,0,8.05,BR,1626404732
Darnah,32.767,22.6367,77.27,clear sky,89,0,20.78,LY,1626404581
Lavrentiya,65.5833,-171.0,53.89,scattered clouds,74,32,14.27,RU,1626404734
Poum,-20.2333,164.0167,74.89,overcast clouds,82,100,8.88,NC,1626404736
Estepona,36.4276,-5.1459,67.91,clear sky,77,0,9.69,ES,1626404737
Araouane,18.9048,-3.5265,93.47,scattered clouds,29,44,1.52,ML,1626404738
Esperance,-33.8667,121.9,55.24,broken clouds,74,57,24.87,AU,1626404740
Saint Anthony,45.0205,-93.218,72.75,clear sky,66,1,1.01,US,1626404741
Slobidka,47.8869,29.3461,67.17,few clouds,60,11,1.61,UA,1626404742
Cabo San Lucas,22.8909,-109.9124,88.9,clear sky,53,1,7.0,MX,1626404666
Hirara,24.8,125.2833,83.53,overcast clouds,75,100,14.07,JP,1626404745
Divnogorsk,55.9594,92.3619,63.09,moderate rain,94,100,2.37,RU,1626404746
Severobaykalsk,55.65,109.3167,60.48,broken clouds,79,62,2.66,RU,1626404747
Port Moresby,-9.4431,147.1797,83.48,clear sky,70,7,7.4,PG,1626404749
Chhapar,27.8167,74.4,93.76,broken clouds,45,79,14.99,IN,1626404750
Hambantota,6.1241,81.1185,80.94,few clouds,94,20,6.91,LK,1626404751
Kralendijk,12.15,-68.2667,80.58,few clouds,83,20,14.97,BQ,1626404752
Paranaiba,-19.6772,-51.1908,68.09,clear sky,39,9,7.07,BR,1626404708
Lagoa,39.05,-27.9833,68.65,clear sky,86,3,9.06,PT,1626404755
El Alto,-4.2714,-81.2147,63.59,clear sky,86,7,15.12,PE,1626404756
Mitsamiouli,-11.3847,43.2844,76.75,clear sky,64,1,12.46,KM,1626404757
Samarai,-10.6167,150.6667,81.9,clear sky,84,7,11.32,PG,1626404759
Cherskiy,68.75,161.3,55.54,few clouds,43,13,5.08,RU,1626404760
Jackson,42.4165,-122.8345,84.07,clear sky,30,1,10.36,US,1626404617
Okato,-39.2,173.8833,55.42,light rain,89,100,23.64,NZ,1626404762
Oussouye,12.485,-16.5469,79.43,overcast clouds,83,99,5.95,SN,1626404764
